Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
99,54.48938,4.63856,0.52395,0.01022
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
10,1,3,6,9
10,1,1,7,3
5,1,1,10,11
11,9,1,4,4
3,9,1,10,3
7,4,1,10,3
9,5,5,9,2
5,8,9,9,10
10,8,1,6,4
9,3,1,2,11
7,3,1,2,5
5,9,4,6,2
4,9,5,9,5
4,4,3,4,5
8,2,3,5,2
4,5,1,2,1
2,5,1,4,1
2,9,1,2,1
6,9,10,7,5
5,11,3,6,9
6,4,6,8,11
6,7,8,9,7
8,2,3,7,7
8,9,4,10,9
4,9,3,11,2
1,3,4,4,3
1,9,2,9,10
1,9,1,4,4
2,4,1,6,9
8,10,1,6,1
8,2,7,7,1
10,8,1,3,1
2,3,1,3,7
4,6,1,7,1
4,9,3,9,1
10,2,10,6,1
6,6,10,2,3
11,11,5,5,2
6,8,5,2,4
3,3,8,2,4
2,8,8,6,11
10,5,1,5,5
6,4,1,10,8
2,8,1,8,3
4,1,9,11,5
9,1,2,1,3
10,1,1,1,9
4,10,1,1,5
3,9,1,8,5
6,9,4,7,6
10,2,6,2,7
1,6,3,2,4
1,3,6,6,7
1,4,5,10,3
2,1,5,8,11
2,1,3,10,4
5,1,6,10,8
10,6,8,11,8
1,9,8,6,1
1,5,10,9,1
1,10,10,9,1
10,8,7,4,9
10,4,7,7,8
6,5,1,7,6
9,5,1,2,8
5,4,1,5,9
10,4,3,3,9
10,1,8,6,2
1,1,9,4,3
1,1,11,4,4
1,6,3,7,9
11,5,9,4,5
10,1,8,10,8
5,1,7,7,3
6,1,8,8,7
3,5,9,8,1
5,11,9,6,1
1,2,3,5,1
1,6,1,11,7
1,8,1,3,10
8,1,1,9,10
8,1,7,7,4
5,1,8,3,5
4,3,4,9,9
8,7,6,7,1
10,8,5,2,1
10,6,4,3,1
7,4,11,9,5
5,4,8,8,4
5,7,6,1,6
6,7,2,1,9
4,3,2,1,2
1,5,6,10,7
1,8,7,4,10
1,8,11,4,7
1,2,10,3,5
1,5,6,2,5
7,6,1,8,1
4,3,1,7,1
9,8,1,7,1
3,8,3,2,5
5,10,10,4,5
10,7,10,8,1
8,10,11,8,1
4,8,4,3,1
11,3,4,11,10
9,7,6,10,10
10,6,1,3,3
10,1,1,9,7
8,1,1,5,2
9,1,7,5,7
5,1,4,,7
5,1,10,,4
1,7,9,,4
1,4,7,,8
1,2,7,,8
2,7,3,,
1,2,7,,
1,2,2,,
1,8,9,,
8,8,6,,
4,5,5,,
4,1,7,,
1,1,7,,
1,1,2,,
1,7,2,,
8,2,5,,
8,7,7,,
,4,7,,
,,10,,
,,10,,
,,11,,
,,1,,
,,1,,
,,1,,
,,4,,
